Rank,Name,Country,Born,Order,Consistory,Office,Ref.
196,JosÃ© Cobo Cano,Spain,20 September 1965 (age 59),CP,30 September 2023 Francis,Archbishop of Madrid,[213]
197,Protase Rugambwa,Tanzania,31 May 1960 (age 64),CP,30 September 2023 Francis,Archbishop of Tabora,[214]
198,Sebastian Francis,Malaysia,11 November 1951 (age 73),CP,30 September 2023 Francis,Bishop of Penang,[215]
199,Stephen Chow Sau-yan SJ,China (Hong Kong)[f],7 August 1959 (age 65),CP,30 September 2023 Francis,Bishop of Hong Kong,[216]
200,FranÃ§ois-Xavier Bustillo OFMConv,France[p],23 November 1968 (age 56),CP,30 September 2023 Francis,Bishop of Ajaccio,[217]
201,AmÃ©rico Aguiar,Portugal,12 December 1973 (age 51),CP,30 September 2023 Francis,Bishop of SetÃºbal,[218]
202,Diego Rafael PadrÃ³n SÃ¡nchez*,Venezuela,17 May 1939 (age 85),CP,30 September 2023 Francis,Archbishop emeritus of CumanÃ¡,[219]
203,Carlos Castillo Mattasoglio,Peru,28 February 1950 (age 75),CP,7 December 2024 Francis,Archbishop of Lima,[220]
204,Vicente Bokalic Iglic CM,Argentina,11 June 1952 (age 72),CP,7 December 2024 Francis,Archbishop of Santiago del Estero,[220]
205,Luis Cabrera Herrera OFM,Ecuador,11 October 1955 (age 69),CP,7 December 2024 Francis,Archbishop of Guayaquil,[220]
206,Fernando ChomalÃ­ Garib,Chile,10 March 1957 (age 68),CP,7 December 2024 Francis,Archbishop of Santiago de Chile,[220]
207,Tarcisio Isao Kikuchi SVD,Japan,1 November 1958 (age 66),CP,7 December 2024 Francis,Archbishop of Tokyo,[220]
208,Pablo Virgilio David,Philippines,2 March 1959 (age 66),CP,7 December 2024 Francis,Bishop of Kalookan,[220]
209,Ladislav Nemet SVD,Serbia[q],7 September 1956 (age 68),CP,7 December 2024 Francis,Archbishop of Belgrade,[220]
210,Jaime Spengler OFM,Brazil,6 September 1960 (age 64),CP,7 December 2024 Francis,Archbishop of Porto Alegre,[220]
211,Ignace Bessi Dogbo,Ivory Coast,17 August 1961 (age 63),CP,7 December 2024 Francis,Archbishop of Abidjan,[220]
212,Jean-Paul Vesco OP,Algeria[r],10 March 1962 (age 63),CP,7 December 2024 Francis,Archbishop of Algiers,[220]
213,Dominique Mathieu OFMConv,Iran[s],13 June 1963 (age 61),CP,7 December 2024 Francis,Archbishop of TehranâIsfahan,[220]
214,Roberto Repole,Italy,29 January 1967 (age 58),CP,7 December 2024 Francis,Archbishop of Turin and Bishop of Susa,[220]
215,Baldassare Reina,Italy,26 November 1970 (age 54),CP,7 December 2024 Francis,Vicar General for Rome and Archpriest of the Papal Basilica of Saint John Lateran,[220]
216,Frank Leo,Canada,30 June 1971 (age 53),CP,7 December 2024 Francis,Archbishop of Toronto,[220]
217,Mykola Bychok CSsR,Australia[t],13 February 1980 (age 45),CP,7 December 2024 Francis,Eparch of Saints Peter and Paul of Melbourne (Ukrainian Greek Church),[220]
218,Domenico Battaglia,Italy,20 January 1963 (age 62),CP,7 December 2024 Francis,Archbishop of Naples,[220]
219,Dominique Mamberti,France,7 March 1952 (age 73),CD,14 February 2015 Francis,Prefect of the Supreme Tribunal of the Apostolic Signatura[c],[221]
220,Mario Zenari,Italy,5 January 1946 (age 79),CD,19 November 2016 Francis,Apostolic Nuncio to Syria,[222]
221,Kevin Farrell,United States[u],2 September 1947 (age 77),CD,19 November 2016 Francis,"Prefect of the Dicastery for the Laity, Family and Life[c] and Camerlengo of the Holy Roman Church",[223]
222,Ernest Simoni*,Albania,18 October 1928 (age 96),CD,19 November 2016 Francis,Priest of the Archdiocese of ShkodÃ«râPult[v],[224]
223,Luis Ladaria Ferrer SJ*,Spain,19 April 1944 (age 81),CD,28 June 2018 Francis,Prefect emeritus of the Dicastery for the Doctrine of the Faith,[225]
224,Giovanni Angelo Becciu*[w],Italy,2 June 1948 (age 76),CD,28 June 2018 Francis,Prefect emeritus of the Congregation for the Causes of Saints,[228]
225,Konrad Krajewski,Poland,25 November 1963 (age 61),CD,28 June 2018 Francis,Almoner of His Holiness,[229]
226,Aquilino Bocos Merino CMF*,Spain,17 May 1938 (age 86),CD,28 June 2018 Francis,Superior General emeritus of the Missionary Sons of the Immaculate Heart of Mary,[230]
227,JosÃ© Tolentino de MendonÃ§a,Portugal,15 December 1965 (age 59),CD,5 October 2019 Francis,Prefect of the Dicastery for Culture and Education[c],[231]
228,Michael Czerny SJ,Canada[x],18 July 1946 (age 78),CD,5 October 2019 Francis,Prefect of the Dicastery for Promoting Integral Human Development[c],[232]
229,Michael Fitzgerald MAfr*,United Kingdom,17 August 1937 (age 87),CD,5 October 2019 Francis,Apostolic Nuncio emeritus to Egypt,[233]
230,Mario Grech,Malta,20 February 1957 (age 68),CD,28 November 2020 Francis,Secretary-General of the Synod of Bishops,[234]
231,Marcello Semeraro,Italy,22 December 1947 (age 77),CD,28 November 2020 Francis,Prefect of the Dicastery for the Causes of Saints[c],[235]
232,Mauro Gambetti OFMConv,Italy,27 October 1965 (age 59),CD,28 November 2020 Francis,"Vicar General for Vatican City, Archpriest of the Papal Basilica of Saint Peter and President of the Fabric of Saint Peter",[236]
233,Silvano Maria Tomasi CS*,Italy,12 October 1940 (age 84),CD,28 November 2020 Francis,Special Delegate to the Sovereign Military Order of Malta,[237]
234,Raniero Cantalamessa OFMCap*,Italy,22 July 1934 (age 90),CD,28 November 2020 Francis,Preacher emeritus of the Papal Household[v],[238]
235,Enrico Feroci*,Italy,27 August 1940 (age 84),CD,28 November 2020 Francis,"Pastor of the Shrine of Our Lady of Divine Love in Castel di Leva, Rome",[239]
236,Arthur Roche,United Kingdom,6 March 1950 (age 75),CD,27 August 2022 Francis,Prefect of the Dicastery for Divine Worship and the Discipline of the Sacraments[c],[240]
237,Lazarus You Heung-sik,South Korea,17 November 1951 (age 73),CD,27 August 2022 Francis,Prefect of the Dicastery for the Clergy[c],[241]
238,Fernando VÃ©rgez Alzaga LC*,Spain,1 March 1945 (age 80),CD,27 August 2022 Francis,President emeritus of the Pontifical Commission for Vatican City State,[242]
239,Gianfranco Ghirlanda SJ*,Italy,5 July 1942 (age 82),CD,27 August 2022 Francis,Patron of the Sovereign Military Order of Malta[v],[243]
240,Fortunato Frezza*,Italy,6 February 1942 (age 83),CD,27 August 2022 Francis,Canon of the Chapter of the Papal Basilica of Saint Peter,[244]
241,Claudio Gugerotti,Italy,7 October 1955 (age 69),CD,30 September 2023 Francis,Prefect of the Dicastery for the Eastern Churches[c],[245]
242,VÃ­ctor Manuel FernÃ¡ndez,Argentina,18 July 1962 (age 62),CD,30 September 2023 Francis,Prefect of the Dicastery for the Doctrine of the Faith[c],[246]
243,Emil Paul Tscherrig,Switzerland,3 February 1947 (age 78),CD,30 September 2023 Francis,Apostolic Nuncio emeritus to Italy and San Marino,[247]
244,Christophe Pierre,France,30 January 1946 (age 79),CD,30 September 2023 Francis,Apostolic Nuncio to the United States,[248]
245,Ãngel FernÃ¡ndez Artime SDB,Spain,21 August 1960 (age 64),CD,30 September 2023 Francis,Pro-Prefect of the Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life,[249]
246,Agostino Marchetto*,Italy,28 August 1940 (age 84),CD,30 September 2023 Francis,Secretary emeritus of the Pontifical Council for the Pastoral Care of Migrants and Itinerant People,[250]
247,Luis Pascual Dri OFMCap*,Argentina,17 April 1927 (age 98),CD,30 September 2023 Francis,"Confessor at the Shrine of Our Lady of Pompei [es], Buenos Aires",[251]
248,Angelo Acerbi*,Italy,23 September 1925 (age 99),CD,7 December 2024 Francis,Apostolic Nuncio emeritus,[220]
249,Rolandas Makrickas,Lithuania,31 January 1972 (age 53),CD,7 December 2024 Francis,Coadjutor Archpriest of the Papal Basilica of Saint Mary Major,[220]
250,Timothy Radcliffe OP,United Kingdom,22 August 1945 (age 79),CD,7 December 2024 Francis,Master emeritus of the Order of Preachers,[220]
251,Fabio Baggio CS,Italy,15 January 1965 (age 60),CD,7 December 2024 Francis,Undersecretary of the Migrants and Refugees Section of the Dicastery for Promoting Integral Human Development,[220]
252,George Koovakad,India,11 August 1973 (age 51),CD,7 December 2024 Francis,Prefect of the Dicastery for Interreligious Dialogue[c] (Syro-Malabar Church),[220]
